Date;Sales;Season;Kalendar;Week-of-Month;Competitor spending;Salgdage;Unemployment rate;Tracking;Tracking-smoothed;Respons Media;Sol-Oslo;Oslo - Mean temperature;Oslo - Total precipitation;Bergen - Mean temperature;Bergen - Total precipitation;Print;InStore;DirectMarketing;RADIO;TV Taktisk;TV Image
2007-46;17619846.49;12317543.11;Normal;3;13.87878587;72;1.719047619;40.8;41.65714286;6547721.447;15.5;-0.228571429;0;3.8;14.5;3801622;4284;433629;16865;936357;0
2007-47;13955440.99;11332649.34;Normal;4;13.68954334;72;1.707936508;33.2;43.37142857;5313807.896;6.5;0.528571429;24.3;3.428571429;72.8;1182341;4284;433629;35979;0;0
2007-48;17683346.43;8708949.193;Normal;1;13.55434178;72;1.698941799;44.8;44.68571429;4289695.734;9.7;1.3;44.1;3.8;100.2;1113116;4244;379137;28358;0;0
2007-49;10905525.5;8979708.626;Normal;2;13.56381833;72;1.695238095;44.4;43.65714286;3822481.485;6.6;2.785714286;14.7;3.857142857;99.2;976806;4144;242907;16038;0;829658
2007-50;15072764.74;11573022.88;Normal;3;13.32584692;73;1.691534392;49.2;42.76054422;4705613.167;21.7;-4.585714286;0.3;3.285714286;0;1093304;4144;242907;16038;0;750270
2007-51;11546524.19;10038323.85;1.christmas;4;13.22024329;73;1.687830688;52.4;43.4462585;3657833.911;6.3;-7.614285714;1.8;1.842857143;5.1;1027695;4144;242907;8019;0;0
2007-52;1209152.48;7109045.797;2.christmas;5;12.74348653;19;1.677777778;40.8;41.97823129;2633403.996;2.6;2.242857143;11.1;5.185714286;148.7;321975;4144;242907;0;0;0
2008-01;6457860.64;6049692.249;Newyear;1;12.99986848;60;1.67037037;34.52380952;42.86185499;2176320.188;6.1;-1.2;21.7;1.271428571;0.7;250370;3552;216732;0;0;0
2008-02;10000137.72;6992272.989;Normal;2;13.66203489;73;1.662962963;38;41.26185499;3355356.466;9.1;1.128571429;29.2;3.842857143;104.3;436035;4144;252854;51734;691511;0
2008-03;11744370.3;8109908.755;Normal;3;13.4028307;72;1.655555556;34.52380952;39.49042641;4418746.026;9.6;2.685714286;48.3;4.6;109;3879012;4144;252854;11928;746583.3834;168154.6166
2008-04;9251490.16;7623157.672;Normal;4;13.25633745;72;1.648148148;36.58536585;38.46140326;3901347.133;27.8;0.628571429;5.6;3.657142857;73.7;798811;4144;252854;11928;0;995283
2008-05;12003633.51;7486034.845;Normal;1;13.79360363;71;1.642857143;38;37.92943047;3590117.513;11.9;0.171428571;45.4;3.028571429;96;677845;4264;144488;16038;0;1477108
2008-06;10623130.66;8904852.853;Normal;2;13.59563497;72;1.639153439;40;37.64371619;4038680.627;12.6;2.185714286;21.4;5.871428571;50.2;635512;4424;0;25910;646573;0
2008-07;12161433.85;6933014.231;Normal;3;14.1268643;72;1.635449735;33.59683794;37.45460054;4510412.046;33.6;-0.671428571;0;3.442857143;16.4;3980826;4424;0;28759;668858.9263;48115.07374
